@RELATION PENCODE


@ATTRIBUTE 32BITSTRING STRING

@ATTRIBUTE IMAGENO STRING

@ATTRIBUTE ISRED NUMERIC

@ATTRIBUTE FREQUENCY NUMERIC


@DATA 


01111100111011010110011010110001, 1_1, 0, 1
11100100111110111111110101110110, 1_2, 1, 1
11000001110110010110010010010011, 1_3, 0, 1
01111100100011011111011010000111, 1_4, 0, 1
00010000011100110011011010010101, 1_5, 0, 1
10000101011111011110000101100111, 1_6, 0, 1
01111011100001011010110111110111, 1_7, 0, 1
01111100000011110110011100100100, 1_8, 0, 1
00111110110110101100111100000100, 1_9, 0, 1
01101001110111111011100111100010, 1_10, 0, 1
01001010101011100100110010110011, 1_11, 0, 1
01001110000110011010000100000001, 1_12, 0, 1
10101111011100111100000111110010, 1_13, 0, 1
11111000011011000010100110100001, 1_14, 0, 1
11101001010110011000110101100011, 1_15, 0, 1
11000001000010111101100010110000, 1_16, 0, 1
00000110101001001001011000000110, 1_17, 0, 1
01111100111011010110011010110001, 1_18, 0, 1
00101110110100001101100100000011, 1_19, 1, 1
01001000110010100101010101010001, 1_20, 0, 1
01111100111011010110011010110001, 1_21, 0, 1
00101110110100001101100100000011, 1_22, 1, 1
10110000111101010000110011000000, 1_23, 0, 1
10110110010101110101011010000110, 1_24, 0, 1
01111100100011011111011010000111, 1_25, 0, 1
11000111010111010001000000110100, 1_26, 0, 1
00000110101001001001011000000110, 1_27, 0, 1
01100110100010000000000000110001, 1_28, 0, 1
01110001100110000000101000010001, 1_29, 0, 1
00011010001111011110000011100001, 1_30, 0, 1
10011000010010010000101100110101, 1_31, 0, 1
01011010110110011101100011000011, 1_32, 0, 1
10101111011100111100000111110010, 1_33, 0, 1
00011100110010111110010100010101, 1_34, 0, 1
01010100100000111001111110100110, 1_35, 0, 1
10011001100011100001101111100011, 1_36, 0, 1
01011010110110011101100011000011, 1_37, 0, 1
10000110010111111011000000000110, 1_38, 0, 1
01111100111011010110011010110001, 1_39, 0, 1
01111100111011010110011010110001, 1_40, 0, 1
11110110000101010001010000110101, 1_41, 1, 1
11000001000101001001100110010101, 1_42, 0, 1
00111101001110010010110000100101, 1_43, 0, 1
11001010110100101101000010000101, 1_44, 0, 1
01000010111110000001010011000111, 1_45, 0, 1
00110111010110110000111011010111, 1_46, 0, 1
00110100011010011011001100010110, 1_47, 0, 1
01111100111011010110011010110001, 1_48, 0, 1
11111000011011000010100110100001, 1_49, 0, 1
11011010100101001000000011000001, 1_50, 0, 1
11100101101000110001010000010111, 1_51, 0, 1
11111000011011000010100110100001, 1_52, 0, 1
00011001001101110011101000100101, 1_53, 0, 1
01101001111001001110001100000001, 1_54, 0, 1
10000101011111011110000101100111, 1_55, 0, 1
11111000011011000010100110100001, 1_56, 0, 1
00001100110100100000010111010100, 1_57, 0, 1
01010100100001111010001000100010, 1_58, 0, 1
10100010111011110011000111110011, 1_59, 1, 1
11100001100001100111111111100100, 1_60, 0, 1
01111100100011011111011010000111, 1_61, 0, 1
00110111010011011101000101000011, 1_62, 0, 1
11000000011010010010000111010001, 1_63, 0, 1
00000110101001001001011000000110, 1_64, 0, 1
01100110100010000000000000110001, 1_65, 0, 1
