@RELATION PENCODE


@ATTRIBUTE 32BITSTRING STRING

@ATTRIBUTE IMAGENO STRING

@ATTRIBUTE ISRED NUMERIC

@ATTRIBUTE FREQUENCY NUMERIC


@DATA 


01111100111011010110011010110001, 1_1, 0, 1
11100100111110111111110101110110, 1_2, 1, 1
11000001110110010110010010010011, 1_3, 0, 8
01111100100011011111011010000111, 1_4, 0, 79
00010000011100110011011010010101, 1_5, 0, 1
10000101011111011110000101100111, 1_6, 0, 64
01111011100001011010110111110111, 1_7, 0, 2
01111100000011110110011100100100, 1_8, 0, 2
00111110110110101100111100000100, 1_9, 0, 1
01101001110111111011100111100010, 1_10, 0, 41
01001010101011100100110010110011, 1_11, 0, 4
01001110000110011010000100000001, 1_12, 0, 1
10101111011100111100000111110010, 1_13, 0, 53
11111000011011000010100110100001, 1_14, 0, 98
11101001010110011000110101100011, 1_15, 0, 2
11000001000010111101100010110000, 1_16, 0, 1
00000110101001001001011000000110, 1_17, 0, 122
01111100111011010110011010110001, 1_18, 0, 67
00101110110100001101100100000011, 1_19, 1, 66
01001000110010100101010101010001, 1_20, 0, 12
10110000111101010000110011000000, 1_23, 0, 1
10110110010101110101011010000110, 1_24, 0, 4
11000111010111010001000000110100, 1_26, 0, 2
01100110100010000000000000110001, 1_28, 0, 12
01110001100110000000101000010001, 1_29, 0, 3
00011010001111011110000011100001, 1_30, 0, 3
10011000010010010000101100110101, 1_31, 0, 1
01011010110110011101100011000011, 1_32, 0, 6
00011100110010111110010100010101, 1_34, 0, 6
01010100100000111001111110100110, 1_35, 0, 66
10011001100011100001101111100011, 1_36, 0, 1
10000110010111111011000000000110, 1_38, 0, 14
11110110000101010001010000110101, 1_41, 1, 2
11000001000101001001100110010101, 1_42, 0, 4
00111101001110010010110000100101, 1_43, 0, 4
11001010110100101101000010000101, 1_44, 0, 12
01000010111110000001010011000111, 1_45, 0, 1
00110111010110110000111011010111, 1_46, 0, 1
00110100011010011011001100010110, 1_47, 0, 9
11011010100101001000000011000001, 1_50, 0, 7
11100101101000110001010000010111, 1_51, 0, 9
00011001001101110011101000100101, 1_53, 0, 4
01101001111001001110001100000001, 1_54, 0, 4
00001100110100100000010111010100, 1_57, 0, 1
01010100100001111010001000100010, 1_58, 0, 1
10100010111011110011000111110011, 1_59, 1, 6
11100001100001100111111111100100, 1_60, 0, 39
00110111010011011101000101000011, 1_62, 0, 2
11000000011010010010000111010001, 1_63, 0, 2
10011110101111010101011100000111, 1_66, 0, 7
01110000010001100101000000100110, 1_67, 0, 9
00111111110011010110011011110100, 1_69, 0, 39
10111000011010000000101010110011, 1_70, 0, 14
11111000101110100111101000110010, 1_71, 0, 1
00110000111111101010101010010111, 1_73, 0, 2
01111100100011011111011010000111, 1_75, 1, 3
01001111110100010100010011010000, 1_76, 0, 4
01000011101101100001111000000110, 1_81, 0, 1
10100111111010111110111100010011, 1_82, 0, 1
01001101110100101100010011010100, 1_85, 0, 4
10010111000110100111100011110101, 1_87, 0, 7
01010001110011101111010110000000, 1_88, 0, 3
10111111101111111111001001100010, 1_91, 0, 1
11000001011111100000000100110001, 1_97, 1, 1
01101000000010100111011000110110, 1_99, 0, 3
