@RELATION PENCODE


@ATTRIBUTE 32BITSTRING NUMERIC

@ATTRIBUTE IMAGENO STRING

@ATTRIBUTE ISRED NUMERIC

@ATTRIBUTE FREQUENCY NUMERIC


@DATA 


2095933105, 1_1, 0, 1
3841719670, 1_2, 1, 1
3252249747, 1_3, 0, 8
2089678471, 1_4, 0, 79
275986069, 1_5, 0, 1
2239619431, 1_6, 0, 64
2072358391, 1_7, 0, 2
2081384228, 1_8, 0, 2
1054527236, 1_9, 0, 1
1776269794, 1_10, 0, 41
1252936883, 1_11, 0, 4
1310302465, 1_12, 0, 1
2943599090, 1_13, 0, 53
4167838113, 1_14, 0, 98
3914960227, 1_15, 0, 2
3238779056, 1_16, 0, 1
111449606, 1_17, 0, 122
2095933105, 1_18, 0, 67
785438979, 1_19, 1, 66
1221219665, 1_20, 0, 12
2968849600, 1_23, 0, 1
3059177094, 1_24, 0, 4
3344764980, 1_26, 0, 2
1720188977, 1_28, 0, 12
1905789457, 1_29, 0, 3
440262881, 1_30, 0, 3
2554923829, 1_31, 0, 1
1524226243, 1_32, 0, 6
483124501, 1_34, 0, 6
1417912230, 1_35, 0, 66
2576227299, 1_36, 0, 1
2254417926, 1_38, 0, 14
4128576565, 1_41, 1, 2
3239352725, 1_42, 0, 4
1027157029, 1_43, 0, 4
3402813573, 1_44, 0, 12
1123554503, 1_45, 0, 1
928714455, 1_46, 0, 1
879342358, 1_47, 0, 9
3667165377, 1_50, 0, 7
3852669975, 1_51, 0, 9
423049765, 1_53, 0, 4
1776608001, 1_54, 0, 4
215090644, 1_57, 0, 1
1418175010, 1_58, 0, 1
2733584883, 1_59, 1, 6
3783688164, 1_60, 0, 39
927846723, 1_62, 0, 2
3228115409, 1_63, 0, 2
2663208711, 1_66, 0, 7
1883656230, 1_67, 0, 9
1070425844, 1_69, 0, 39
3093826227, 1_70, 0, 14
4172970546, 1_71, 0, 1
821996183, 1_73, 0, 2
2089678471, 1_75, 1, 3
1339114704, 1_76, 0, 4
1136008710, 1_81, 0, 1
2817257235, 1_82, 0, 1
1305658580, 1_85, 0, 4
2535094517, 1_87, 0, 7
1372517760, 1_88, 0, 3
3217027682, 1_91, 0, 1
3246260529, 1_97, 1, 1
1745516086, 1_99, 0, 3
4239814500, 1_100, 0, 23
1483315216, 1_101, 0, 1
818847954, 1_103, 0, 3
3708175077, 1_105, 0, 2
2689192596, 1_108, 0, 11
2613855682, 1_109, 0, 1
2964939744, 1_110, 0, 1
3439098531, 1_113, 1, 2
463545270, 1_114, 1, 2
216776391, 1_115, 0, 1
1332207143, 1_117, 0, 1
3636237333, 1_121, 1, 2
2733584883, 1_123, 0, 21
1756213223, 1_125, 0, 10
1287593205, 1_126, 0, 1
1667815459, 1_131, 0, 2
2002620960, 1_133, 0, 2
717124480, 1_134, 0, 1
3841719670, 1_135, 0, 8
938978465, 1_136, 0, 1
2094235986, 1_138, 0, 12
1663872914, 1_141, 0, 6
1443148725, 1_142, 0, 2
4023640359, 1_143, 0, 2
1130526114, 2_3, 0, 2
396004148, 2_4, 0, 4
3869891892, 2_6, 1, 1
769373207, 2_9, 0, 10
3246260529, 2_11, 0, 3
2531739270, 2_12, 0, 15
